Byte	frequency
122	5.217392216345142E-4
123	3.9104516403737284E-4
124	6.063014998576161E-4
125	3.962186899092181E-4
126	3.2370176786928207E-4
127	2.3810463754968588E-5
128	3.845389293135498E-5
129	4.841267884746957E-6
130	2.3975843671202595E-6
131	1.2220240593370418E-5
132	1.1072648871782034E-6
133	1.060476163016091E-6
134	1.0656283042576303E-6
135	1.0663894674291527E-6
136	1.3846855392265474E-6
137	0.21906940836144995
138	0.3472515474171304
139	2.9354267921237694E-6
140	2.07803674775546E-6
141	0.07893648569269572
142	1.1252252454629732E-6
143	2.475100122897395E-7
144	3.854070862986661E-6
145	2.4832822943813037E-7
146	8.98838383961167E-7
147	9.864293480704523E-7
148	2.555743330339809E-7
149	2.5872969121189596E-7
150	2.5636681348796667E-7
151	2.539819540860034E-7
152	9.356857560466365E-7
153	7.447123488103852E-7
154	2.417049497180374E-7
155	1.4932046214251037E-6
156	2.5636681348796667E-7
157	1.018189710129368E-6
158	2.475100122897395E-7
159	2.610711841073851E-7
160	0.9671620215318717
161	0.08326283341513245
162	0.5655881015343812
163	0.07341086377823146
164	0.01870958339303735
165	0.07426600590032408
166	0.10936724599778397
167	0.13646198921560695
168	0.11575294804601764
169	0.11590512879617326
170	0.028255752194706836
171	0.05264426682295982
172	0.15798886883213295
173	0.35285182862648407
174	0.3188382075674049
175	0.5377694693205961
176	0.26206231600689095
177	0.25149432421230894
178	0.2439107209372287
179	0.1809812850592707
180	0.16115176782062324
181	0.16508090851863502
182	0.15226659264988904
183	0.15021541086829307
184	0.14904399601814
185	0.15992634084454269
186	0.22156537694925432
187	0.17192777966757725
188	0.4606198413013884
189	0.42151670002260977
190	0.46062650789942367
191	0.08489000150544007
192	0.022753861654023412
193	0.1488721328308343
194	0.10374292342166154
195	0.14673418138536992
196	0.11522482303699076
197	0.11888253795178426
198	0.11218524882059623
199	0.08640600799761984
200	0.0879346961899105
201	0.11653489691910617
202	0.0605671026274752
203	0.05122289123682325
204	0.10482136161877369
205	0.11059662250557255
206	0.10758539480928409
207	0.09477492642724247
208	0.11900923538594614
209	0.03796147597397241
210	0.10861312973201456
211	0.154044268846738
212	0.14222441605014824
213	0.08312009975839466
214	0.0642585917796082
215	0.08739119751692133
216	0.045442007503861445
217	0.05593790331992013
218	0.033481278225615155
219	0.05798731708617366
220	0.04505990579477643
221	0.05795708872782632
222	0.002677509758693897
223	0.18602445945146526
224	2.2946570536724073E-4
225	0.6744747401616568
226	0.29261395009880725
227	0.5130020614576095
228	0.4598171051448508
229	0.7504255609124908
230	0.3211724859138887
231	0.33467471013653566
232	0.4107261435088415
233	0.6462351101912319
234	0.1481469075992284
235	0.20565780848391096
236	0.5707488573485574
237	0.4041082675543418
238	0.5561705858154223
239	0.5621296911819509
240	0.44781604620270504
241	0.09309217901166397
242	0.5760676055614702
243	0.6356364710239023
244	0.7046015674493425
245	0.35437393599247746
246	0.31240332706751806
247	0.30428320502080564
248	0.19516169528146532
249	0.2725037231362426
250	0.08352491334074363
251	0.06937794709463731
252	0.04804360526598812
253	0.06931947660680715
254	0.0012500545683148934
255	2.314148709389317E-7
